dataset,class_idx,class_name,model_a,model_b,n_pair_valid,pair_agreement
TeacherBehavior,0,guide,LLaVA-1.5-7B,Qwen2.5-VL-7B,449,69.4878
TeacherBehavior,0,guide,LLaVA-1.5-7B,Qwen2.5-VL-32B,449,51.2249
TeacherBehavior,0,guide,LLaVA-1.5-7B,Gemma-3-27B,449,61.4699
TeacherBehavior,0,guide,Qwen2.5-VL-7B,Qwen2.5-VL-32B,449,69.7105
TeacherBehavior,0,guide,Qwen2.5-VL-7B,Gemma-3-27B,449,81.069
TeacherBehavior,0,guide,Qwen2.5-VL-32B,Gemma-3-27B,449,73.2739
TeacherBehavior,1,answer,Qwen2-VL-7B,LLaVA-1.5-7B,853,48.6518
TeacherBehavior,1,answer,Qwen2-VL-7B,Qwen2.5-VL-7B,853,86.7526
TeacherBehavior,1,answer,Qwen2-VL-7B,Qwen2.5-VL-32B,853,78.7808
TeacherBehavior,1,answer,Qwen2-VL-7B,Gemma-3-27B,853,90.3869
TeacherBehavior,1,answer,LLaVA-1.5-7B,Qwen2.5-VL-7B,853,45.4865
TeacherBehavior,1,answer,LLaVA-1.5-7B,Qwen2.5-VL-32B,853,44.7831
TeacherBehavior,1,answer,LLaVA-1.5-7B,Gemma-3-27B,853,47.714
TeacherBehavior,1,answer,Qwen2.5-VL-7B,Qwen2.5-VL-32B,853,79.3669
TeacherBehavior,1,answer,Qwen2.5-VL-7B,Gemma-3-27B,853,84.5252
TeacherBehavior,1,answer,Qwen2.5-VL-32B,Gemma-3-27B,853,82.5322
TeacherBehavior,2,on-stage interaction,Qwen2-VL-7B,LLaVA-1.5-7B,149,20.1342
TeacherBehavior,2,on-stage interaction,Qwen2-VL-7B,Qwen2.5-VL-7B,149,25.5034
TeacherBehavior,2,on-stage interaction,Qwen2-VL-7B,Qwen2.5-VL-32B,149,27.5168
TeacherBehavior,2,on-stage interaction,Qwen2-VL-7B,Gemma-3-27B,149,40.9396
TeacherBehavior,2,on-stage interaction,LLaVA-1.5-7B,Qwen2.5-VL-7B,149,59.7315
TeacherBehavior,2,on-stage interaction,LLaVA-1.5-7B,Qwen2.5-VL-32B,149,59.7315
TeacherBehavior,2,on-stage interaction,LLaVA-1.5-7B,Gemma-3-27B,149,46.9799
TeacherBehavior,2,on-stage interaction,Qwen2.5-VL-7B,Qwen2.5-VL-32B,149,77.8523
TeacherBehavior,2,on-stage interaction,Qwen2.5-VL-7B,Gemma-3-27B,149,61.745
TeacherBehavior,2,on-stage interaction,Qwen2.5-VL-32B,Gemma-3-27B,149,59.0604
TeacherBehavior,3,blackboard-writing,Qwen2-VL-7B,LLaVA-1.5-7B,277,77.9783
TeacherBehavior,3,blackboard-writing,Qwen2-VL-7B,Qwen2.5-VL-7B,277,89.8917
TeacherBehavior,3,blackboard-writing,Qwen2-VL-7B,Qwen2.5-VL-32B,277,84.1155
TeacherBehavior,3,blackboard-writing,Qwen2-VL-7B,Gemma-3-27B,277,75.8123
TeacherBehavior,3,blackboard-writing,LLaVA-1.5-7B,Qwen2.5-VL-7B,277,80.5054
TeacherBehavior,3,blackboard-writing,LLaVA-1.5-7B,Qwen2.5-VL-32B,277,71.8412
TeacherBehavior,3,blackboard-writing,LLaVA-1.5-7B,Gemma-3-27B,277,60.6498
TeacherBehavior,3,blackboard-writing,Qwen2.5-VL-7B,Qwen2.5-VL-32B,277,88.0866
TeacherBehavior,3,blackboard-writing,Qwen2.5-VL-7B,Gemma-3-27B,277,71.4801
TeacherBehavior,3,blackboard-writing,Qwen2.5-VL-32B,Gemma-3-27B,277,79.0614
TeacherBehavior,4,teacher,Qwen2-VL-7B,LLaVA-1.5-7B,3228,84.5415
TeacherBehavior,4,teacher,Qwen2-VL-7B,Qwen2.5-VL-7B,3228,94.0211
TeacherBehavior,4,teacher,Qwen2-VL-7B,Qwen2.5-VL-32B,3228,86.834
TeacherBehavior,4,teacher,Qwen2-VL-7B,Gemma-3-27B,3228,90.0867
TeacherBehavior,4,teacher,LLaVA-1.5-7B,Qwen2.5-VL-7B,3228,82.5898
TeacherBehavior,4,teacher,LLaVA-1.5-7B,Qwen2.5-VL-32B,3228,76.7658
TeacherBehavior,4,teacher,LLaVA-1.5-7B,Gemma-3-27B,3228,79.3061
TeacherBehavior,4,teacher,Qwen2.5-VL-7B,Qwen2.5-VL-32B,3228,87.6394
TeacherBehavior,4,teacher,Qwen2.5-VL-7B,Gemma-3-27B,3228,87.8253
TeacherBehavior,4,teacher,Qwen2.5-VL-32B,Gemma-3-27B,3228,86.772
TeacherBehavior,5,stand,Qwen2-VL-7B,LLaVA-1.5-7B,4967,61.5663
TeacherBehavior,5,stand,Qwen2-VL-7B,Qwen2.5-VL-7B,4967,82.8871
TeacherBehavior,5,stand,Qwen2-VL-7B,Qwen2.5-VL-32B,4967,67.8075
TeacherBehavior,5,stand,Qwen2-VL-7B,Gemma-3-27B,4967,70.3845
TeacherBehavior,5,stand,LLaVA-1.5-7B,Qwen2.5-VL-7B,4967,60.5597
TeacherBehavior,5,stand,LLaVA-1.5-7B,Qwen2.5-VL-32B,4967,55.2446
TeacherBehavior,5,stand,LLaVA-1.5-7B,Gemma-3-27B,4967,57.8216
TeacherBehavior,5,stand,Qwen2.5-VL-7B,Qwen2.5-VL-32B,4967,73.0018
TeacherBehavior,5,stand,Qwen2.5-VL-7B,Gemma-3-27B,4967,71.1093
TeacherBehavior,5,stand,Qwen2.5-VL-32B,Gemma-3-27B,4967,74.2098
TeacherBehavior,6,screen,Qwen2-VL-7B,LLaVA-1.5-7B,1959,58.9076
TeacherBehavior,6,screen,Qwen2-VL-7B,Qwen2.5-VL-7B,1959,81.5722
TeacherBehavior,6,screen,Qwen2-VL-7B,Qwen2.5-VL-32B,1959,67.024
TeacherBehavior,6,screen,Qwen2-VL-7B,Gemma-3-27B,1959,82.1848
TeacherBehavior,6,screen,LLaVA-1.5-7B,Qwen2.5-VL-7B,1959,54.4155
TeacherBehavior,6,screen,LLaVA-1.5-7B,Qwen2.5-VL-32B,1959,42.9811
TeacherBehavior,6,screen,LLaVA-1.5-7B,Gemma-3-27B,1959,54.926
TeacherBehavior,6,screen,Qwen2.5-VL-7B,Qwen2.5-VL-32B,1959,69.9847
TeacherBehavior,6,screen,Qwen2.5-VL-7B,Gemma-3-27B,1959,82.4911
TeacherBehavior,6,screen,Qwen2.5-VL-32B,Gemma-3-27B,1959,73.609
TeacherBehavior,7,blackboard,Qwen2-VL-7B,LLaVA-1.5-7B,3445,64.9637
TeacherBehavior,7,blackboard,Qwen2-VL-7B,Qwen2.5-VL-7B,3445,78.0261
TeacherBehavior,7,blackboard,Qwen2-VL-7B,Qwen2.5-VL-32B,3445,73.0044
TeacherBehavior,7,blackboard,Qwen2-VL-7B,Gemma-3-27B,3445,81.6546
TeacherBehavior,7,blackboard,LLaVA-1.5-7B,Qwen2.5-VL-7B,3445,64.3251
TeacherBehavior,7,blackboard,LLaVA-1.5-7B,Qwen2.5-VL-32B,3445,54.8911
TeacherBehavior,7,blackboard,LLaVA-1.5-7B,Gemma-3-27B,3445,66.1538
TeacherBehavior,7,blackboard,Qwen2.5-VL-7B,Qwen2.5-VL-32B,3445,60.3483
TeacherBehavior,7,blackboard,Qwen2.5-VL-7B,Gemma-3-27B,3445,78.897
TeacherBehavior,7,blackboard,Qwen2.5-VL-32B,Gemma-3-27B,3445,68.6212
