class_idx,class_name,dataset,model_a,model_b,n_pair_valid,pair_agreement
1,read,HandriseReadWrite,Qwen2-VL-7B,LLaVA-1.5-7B,6534,38.7205
1,read,HandriseReadWrite,Qwen2-VL-7B,Qwen2.5-VL-7B,6429,40.7528
1,read,HandriseReadWrite,Qwen2-VL-7B,Qwen2.5-VL-32B,6534,69.1613
1,read,HandriseReadWrite,Qwen2-VL-7B,Gemma-3-27B,6534,48.9899
1,read,HandriseReadWrite,LLaVA-1.5-7B,Qwen2.5-VL-7B,6434,75.9092
1,read,HandriseReadWrite,LLaVA-1.5-7B,Qwen2.5-VL-32B,6539,44.3952
1,read,HandriseReadWrite,LLaVA-1.5-7B,Gemma-3-27B,6539,70.0719
1,read,HandriseReadWrite,Qwen2.5-VL-7B,Qwen2.5-VL-32B,6434,49.3006
1,read,HandriseReadWrite,Qwen2.5-VL-7B,Gemma-3-27B,6434,73.3447
1,read,HandriseReadWrite,Qwen2.5-VL-32B,Gemma-3-27B,6539,54.5955
2,write,HandriseReadWrite,Qwen2-VL-7B,LLaVA-1.5-7B,3393,68.0813
2,write,HandriseReadWrite,Qwen2-VL-7B,Qwen2.5-VL-7B,3374,70.0059
2,write,HandriseReadWrite,Qwen2-VL-7B,Qwen2.5-VL-32B,3393,75.7442
2,write,HandriseReadWrite,Qwen2-VL-7B,Gemma-3-27B,3393,69.5255
2,write,HandriseReadWrite,LLaVA-1.5-7B,Qwen2.5-VL-7B,3375,93.5407
2,write,HandriseReadWrite,LLaVA-1.5-7B,Qwen2.5-VL-32B,3394,74.013
2,write,HandriseReadWrite,LLaVA-1.5-7B,Gemma-3-27B,3394,91.043
2,write,HandriseReadWrite,Qwen2.5-VL-7B,Qwen2.5-VL-32B,3375,76.9481
2,write,HandriseReadWrite,Qwen2.5-VL-7B,Gemma-3-27B,3375,92.7704
2,write,HandriseReadWrite,Qwen2.5-VL-32B,Gemma-3-27B,3394,75.9576
0,guide,TeacherBehavior,Qwen2-VL-7B,LLaVA-1.5-7B,449,72.8285
0,guide,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-7B,449,94.6548
0,guide,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-32B,449,69.4878
0,guide,TeacherBehavior,Qwen2-VL-7B,Gemma-3-27B,449,81.7372
0,guide,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-7B,449,69.4878
0,guide,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-32B,449,51.2249
0,guide,TeacherBehavior,LLaVA-1.5-7B,Gemma-3-27B,449,61.4699
0,guide,TeacherBehavior,Qwen2.5-VL-7B,Qwen2.5-VL-32B,449,69.7105
0,guide,TeacherBehavior,Qwen2.5-VL-7B,Gemma-3-27B,449,81.069
0,guide,TeacherBehavior,Qwen2.5-VL-32B,Gemma-3-27B,449,73.2739
1,answer,TeacherBehavior,Qwen2-VL-7B,LLaVA-1.5-7B,853,48.6518
1,answer,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-7B,853,86.7526
1,answer,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-32B,853,78.7808
1,answer,TeacherBehavior,Qwen2-VL-7B,Gemma-3-27B,853,90.3869
1,answer,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-7B,853,45.4865
1,answer,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-32B,853,44.7831
1,answer,TeacherBehavior,LLaVA-1.5-7B,Gemma-3-27B,853,47.714
1,answer,TeacherBehavior,Qwen2.5-VL-7B,Qwen2.5-VL-32B,853,79.3669
1,answer,TeacherBehavior,Qwen2.5-VL-7B,Gemma-3-27B,853,84.5252
1,answer,TeacherBehavior,Qwen2.5-VL-32B,Gemma-3-27B,853,82.5322
2,on-stage interaction,TeacherBehavior,Qwen2-VL-7B,LLaVA-1.5-7B,149,20.1342
2,on-stage interaction,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-7B,149,25.5034
2,on-stage interaction,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-32B,149,27.5168
2,on-stage interaction,TeacherBehavior,Qwen2-VL-7B,Gemma-3-27B,149,40.9396
2,on-stage interaction,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-7B,149,59.7315
2,on-stage interaction,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-32B,149,59.7315
2,on-stage interaction,TeacherBehavior,LLaVA-1.5-7B,Gemma-3-27B,149,46.9799
2,on-stage interaction,TeacherBehavior,Qwen2.5-VL-7B,Qwen2.5-VL-32B,149,77.8523
2,on-stage interaction,TeacherBehavior,Qwen2.5-VL-7B,Gemma-3-27B,149,61.745
2,on-stage interaction,TeacherBehavior,Qwen2.5-VL-32B,Gemma-3-27B,149,59.0604
3,blackboard-writing,TeacherBehavior,Qwen2-VL-7B,LLaVA-1.5-7B,277,77.9783
3,blackboard-writing,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-7B,277,89.8917
3,blackboard-writing,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-32B,277,84.1155
3,blackboard-writing,TeacherBehavior,Qwen2-VL-7B,Gemma-3-27B,277,75.8123
3,blackboard-writing,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-7B,277,80.5054
3,blackboard-writing,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-32B,277,71.8412
3,blackboard-writing,TeacherBehavior,LLaVA-1.5-7B,Gemma-3-27B,277,60.6498
3,blackboard-writing,TeacherBehavior,Qwen2.5-VL-7B,Qwen2.5-VL-32B,277,88.0866
3,blackboard-writing,TeacherBehavior,Qwen2.5-VL-7B,Gemma-3-27B,277,71.4801
3,blackboard-writing,TeacherBehavior,Qwen2.5-VL-32B,Gemma-3-27B,277,79.0614
4,teacher,TeacherBehavior,Qwen2-VL-7B,LLaVA-1.5-7B,3228,84.5415
4,teacher,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-7B,3228,94.0211
4,teacher,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-32B,3228,86.834
4,teacher,TeacherBehavior,Qwen2-VL-7B,Gemma-3-27B,3228,90.0867
4,teacher,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-7B,3228,82.5898
4,teacher,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-32B,3228,76.7658
4,teacher,TeacherBehavior,LLaVA-1.5-7B,Gemma-3-27B,3228,79.3061
4,teacher,TeacherBehavior,Qwen2.5-VL-7B,Qwen2.5-VL-32B,3228,87.6394
4,teacher,TeacherBehavior,Qwen2.5-VL-7B,Gemma-3-27B,3228,87.8253
4,teacher,TeacherBehavior,Qwen2.5-VL-32B,Gemma-3-27B,3228,86.772
5,stand,TeacherBehavior,Qwen2-VL-7B,LLaVA-1.5-7B,4967,61.5663
5,stand,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-7B,4967,82.8871
5,stand,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-32B,4967,67.8075
5,stand,TeacherBehavior,Qwen2-VL-7B,Gemma-3-27B,4967,70.3845
5,stand,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-7B,4967,60.5597
5,stand,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-32B,4967,55.2446
5,stand,TeacherBehavior,LLaVA-1.5-7B,Gemma-3-27B,4967,57.8216
5,stand,TeacherBehavior,Qwen2.5-VL-7B,Qwen2.5-VL-32B,4967,73.0018
5,stand,TeacherBehavior,Qwen2.5-VL-7B,Gemma-3-27B,4967,71.1093
5,stand,TeacherBehavior,Qwen2.5-VL-32B,Gemma-3-27B,4967,74.2098
6,screen,TeacherBehavior,Qwen2-VL-7B,LLaVA-1.5-7B,1959,58.9076
6,screen,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-7B,1959,81.5722
6,screen,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-32B,1959,67.024
6,screen,TeacherBehavior,Qwen2-VL-7B,Gemma-3-27B,1959,82.1848
6,screen,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-7B,1959,54.4155
6,screen,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-32B,1959,42.9811
6,screen,TeacherBehavior,LLaVA-1.5-7B,Gemma-3-27B,1959,54.926
6,screen,TeacherBehavior,Qwen2.5-VL-7B,Qwen2.5-VL-32B,1959,69.9847
6,screen,TeacherBehavior,Qwen2.5-VL-7B,Gemma-3-27B,1959,82.4911
6,screen,TeacherBehavior,Qwen2.5-VL-32B,Gemma-3-27B,1959,73.609
7,blackboard,TeacherBehavior,Qwen2-VL-7B,LLaVA-1.5-7B,3445,64.9637
7,blackboard,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-7B,3445,78.0261
7,blackboard,TeacherBehavior,Qwen2-VL-7B,Qwen2.5-VL-32B,3445,73.0044
7,blackboard,TeacherBehavior,Qwen2-VL-7B,Gemma-3-27B,3445,81.6546
7,blackboard,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-7B,3445,64.3251
7,blackboard,TeacherBehavior,LLaVA-1.5-7B,Qwen2.5-VL-32B,3445,54.8911
7,blackboard,TeacherBehavior,LLaVA-1.5-7B,Gemma-3-27B,3445,66.1538
7,blackboard,TeacherBehavior,Qwen2.5-VL-7B,Qwen2.5-VL-32B,3445,60.3483
7,blackboard,TeacherBehavior,Qwen2.5-VL-7B,Gemma-3-27B,3445,78.897
7,blackboard,TeacherBehavior,Qwen2.5-VL-32B,Gemma-3-27B,3445,68.6212
